Year,State,TotalVotes,DemocratVotes,DemocratElectoralVotes,RepublicanVotes,RepublicanElectoralVotes
2020,Rhode Island,517757,307486,4,199922,0
1976,South Carolina,802583,450807,8,346149,0
1980,South Carolina,894071,441841,8,430385,0
1984,South Carolina,968529,615539,8,344459,0
1988,South Carolina,986009,606443,8,370554,0
1992,South Carolina,1202527,479514,0,577507,8
1996,South Carolina,1151689,506283,0,573458,8
2000,South Carolina,1382717,785937,8,565561,0
2004,South Carolina,1617730,937974,8,661699,0
2008,South Carolina,1920969,862449,0,1034896,8
2012,South Carolina,1964118,865941,0,1071645,9
2016,South Carolina,2103027,855373,0,1155389,9
2020,South Carolina,2513329,1091541,0,1385103,9
1976,South Dakota,300678,147068,0,151505,4
1980,South Dakota,327703,198343,4,103855,0
1984,South Dakota,317867,200267,3,116113,0
1988,South Dakota,312991,165415,3,145560,0
1992,South Dakota,336254,124888,0,136718,3
1996,South Dakota,323826,139333,0,150543,3
2000,South Dakota,316269,190700,3,118804,0
2004,South Dakota,388215,232584,3,149244,0
2008,South Dakota,381975,170924,0,203054,3
2012,South Dakota,363815,145039,0,210610,3
2016,South Dakota,370047,117442,0,227701,3
2020,South Dakota,422609,150471,0,261043,3
1976,Tennessee,1476345,825879,10,633969,0
1980,Tennessee,1617616,787761,10,783051,0
1984,Tennessee,1711994,990212,11,711714,0
1988,Tennessee,1636250,947233,11,679794,0
1992,Tennessee,1982638,933521,11,841300,0
1996,Tennessee,1894105,909146,11,863530,0
2000,Tennessee,2076181,1061949,11,981720,0
2004,Tennessee,2437319,1384375,11,1036477,0
2008,Tennessee,2599749,1087437,0,1479178,11
2012,Tennessee,2458577,960709,0,1462330,11
2016,Tennessee,2508027,870695,0,1522925,11
2020,Tennessee,3053851,1143711,0,1852475,11
1976,Texas,4071884,2082319,26,1953300,0
1980,Texas,4541636,2510705,26,1881147,0
1984,Texas,5397571,3433428,29,1949276,0
1988,Texas,5427410,3036829,29,2352748,0
1992,Texas,6154018,2281815,0,2496071,32
1996,Texas,5611644,2459683,0,2736167,32
2000,Texas,6407637,3799639,32,2433746,0
2004,Texas,7410765,4526917,34,2832704,0
2008,Texas,8077795,3528633,0,4479328,34
2012,Texas,7993851,3308124,0,4569843,38
2016,Texas,8969226,3877868,0,4685047,38
2020,Texas,11315056,5259126,0,5890347,38
1976,Utah,541198,182110,0,337908,4
1980,Utah,604222,439687,4,124266,0
1984,Utah,629656,469105,5,155369,0
1988,Utah,647008,428442,5,207343,0
1992,Utah,743999,183429,0,322632,5
